date,close,high,low,open,volume
2022-07-20,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-07-21,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-07-22,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-07-25,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-07-26,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-07-27,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-07-28,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-07-29,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-08-01,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-08-02,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-08-03,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-08-04,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-08-05,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-08-08,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-08-09,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-08-10,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-08-11,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-08-12,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-08-15,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-08-16,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-08-17,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-08-18,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-08-19,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-08-22,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-08-23,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-08-24,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-08-25,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-08-26,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-08-29,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-08-30,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-08-31,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-09-01,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-09-02,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-09-06,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-09-07,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-09-08,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-09-09,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-09-12,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-09-13,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-09-14,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-09-15,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-09-16,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-09-19,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-09-20,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-09-21,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-09-22,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-09-23,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-09-26,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-09-27,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-09-28,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-09-29,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-09-30,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-10-03,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-10-04,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-10-05,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-10-06,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-10-07,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-10-10,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-10-11,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-10-12,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-10-13,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-10-14,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-10-17,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-10-18,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-10-19,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-10-20,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-10-21,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-10-24,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-10-25,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-10-26,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-10-27,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-10-28,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-10-31,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-11-01,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-11-02,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-11-03,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-11-04,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-11-07,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-11-08,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-11-09,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-11-10,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-11-11,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-11-14,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-11-15,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-11-16,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-11-17,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-11-18,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-11-21,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-11-22,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-11-23,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-11-25,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-11-28,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-11-29,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-11-30,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-12-01,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-12-02,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-12-05,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-12-06,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-12-07,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-12-08,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-12-09,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-12-12,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-12-13,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-12-14,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-12-15,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-12-16,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-12-19,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-12-20,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-12-21,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-12-22,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-12-23,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-12-27,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-12-28,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-12-29,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2022-12-30,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-01-03,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-01-04,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-01-05,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-01-06,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-01-09,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-01-10,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-01-11,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-01-12,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-01-13,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-01-17,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-01-18,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-01-19,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-01-20,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-01-23,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-01-24,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-01-25,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-01-26,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-01-27,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-01-30,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-01-31,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-02-01,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-02-02,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-02-03,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-02-06,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-02-07,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-02-08,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-02-09,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-02-10,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-02-13,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-02-14,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-02-15,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-02-16,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-02-17,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-02-21,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-02-22,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-02-23,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-02-24,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-02-27,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-02-28,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-03-01,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-03-02,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-03-03,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-03-06,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-03-07,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-03-08,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-03-09,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-03-10,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-03-13,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-03-14,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-03-15,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-03-16,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-03-17,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-03-20,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-03-21,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-03-22,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-03-23,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-03-24,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-03-27,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-03-28,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-03-29,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-03-30,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-03-31,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-04-03,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-04-04,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-04-05,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-04-06,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-04-10,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-04-11,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-04-12,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-04-13,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-04-14,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-04-17,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-04-18,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-04-19,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-04-20,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-04-21,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-04-24,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-04-25,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-04-26,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-04-27,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-04-28,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-05-01,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-05-02,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-05-03,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-05-04,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-05-05,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-05-08,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-05-09,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-05-10,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-05-11,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-05-12,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-05-15,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-05-16,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-05-17,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-05-18,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-05-19,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-05-22,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-05-23,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-05-24,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-05-25,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-05-26,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-05-30,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-05-31,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-06-01,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-06-02,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-06-05,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-06-06,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-06-07,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-06-08,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-06-09,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-06-12,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-06-13,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-06-14,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-06-15,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-06-16,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-06-20,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-06-21,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-06-22,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-06-23,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-06-26,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-06-27,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-06-28,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-06-29,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-06-30,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-07-03,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-07-05,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-07-06,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-07-07,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-07-10,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-07-11,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-07-12,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-07-13,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-07-14,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-07-17,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-07-18,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-07-19,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-07-20,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-07-21,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-07-24,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-07-25,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-07-26,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-07-27,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-07-28,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-07-31,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-08-01,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-08-02,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-08-03,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-08-04,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-08-07,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-08-08,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-08-09,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-08-10,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-08-11,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-08-14,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-08-15,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-08-16,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-08-17,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-08-18,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-08-21,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-08-22,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-08-23,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-08-24,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-08-25,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-08-28,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-08-29,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-08-30,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-08-31,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-09-01,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-09-05,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-09-06,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-09-07,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-09-08,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-09-11,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-09-12,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-09-13,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-09-14,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-09-15,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-09-18,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-09-19,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-09-20,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-09-21,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-09-22,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-09-25,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-09-26,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-09-27,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-09-28,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-09-29,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-10-02,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-10-03,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-10-04,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-10-05,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-10-06,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-10-09,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-10-10,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-10-11,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-10-12,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-10-13,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-10-16,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-10-17,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-10-18,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-10-19,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-10-20,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-10-23,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-10-24,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-10-25,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-10-26,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-10-27,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-10-30,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-10-31,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-11-01,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-11-02,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-11-03,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-11-06,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-11-07,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-11-08,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-11-09,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-11-10,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-11-13,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-11-14,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-11-15,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-11-16,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-11-17,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-11-20,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-11-21,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-11-22,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
2023-11-24,35.62723159790039,35.62723159790039,35.62723159790039,35.62723159790039,0
